일련번호,시도,시군구,면적,아이디
1,황해남도,강령군,53190.24,0
2,황해북도,개풍군,44883.92,1
3,황해남도,옹진군,64125.08,2
4,황해남도,연안군,51868.77,3
5,황해남도,배천군,51214.68,4
6,황해남도,해주시,21682.37,5
7,황해남도,청단군,48125.54,6
8,황해남도,벽성군,43986.35,7
9,황해북도,장풍군,55715.68,8
10,황해남도,봉천군,50299.03,9
11,황해남도,태탄군,35706.08,10
12,황해남도,용연군,49106.29,11
13,황해남도,신원군,49341.53,12
14,황해북도,금천군,44652.79,13
15,황해남도,장연군,40460.08,14
16,황해북도,인산군,48996.5,15
17,황해북도,토산군,40340.24,16
18,황해남도,신천군,48069.47,17
19,황해북도,평산군,53825.96,18
20,강원도,철원군,55687.53,19
21,황해남도,삼천군,33536.66,20
22,황해남도,송화군,19326.72,21
23,황해북도,은파군,39059.69,22
24,강원도,평강군,80988.01,23
25,황해북도,봉산군,42815.15,24
26,황해남도,재령군,33164.1,25
27,강원도,김화군,58418.54,26
28,황해북도,사리원시,20765.07,27
29,황해남도,안악군,39823.07,28
30,강원도,이천군,60486.14,29
31,황해북도,서흥군,56955.15,30
32,황해북도,신계군,72524.92,31
33,황해남도,은률군,41847.34,32
34,황해남도,은천군,45755.92,33
35,황해북도,연탄군,54816.76,34
36,강원도,금강군,89919.61,35
37,강원도,창도군,87288.77,36
38,황해북도,수안군,65470.14,37
39,황해북도,곡산군,50859.95,38
40,강원도,고성군,88359.16,39
41,강원도,세포군,96326.11,40
42,강원도,회양군,73671.92,41
43,강원도,판교군,83240.97,42
44,남포특별시,룡강군,15672.08,43
45,황해북도,연산군,54719.53,44
46,남포특별시,온천군,36018.48,45
47,남포특별시,강서구역,23714.64,46
48,강원도,고산군,43445.59,47
49,황해북도,승호군,15798.06,48
50,강원도,통천군,60694.22,49
51,강원도,안변군,50829.42,50
52,황해북도,신평군,107411.29,51
53,강원도,법동군,83437.62,52
54,강원도,원산시,31107.05,53
55,평안남도,대동군,27540.02,54
56,평안남도,증산군,34726.18,55
57,평안남도,회창군,68057.48,56
58,평안남도,양덕군,79107.49,57
59,강원도,문천시,26841.11,58
60,평안남도,평원군,45302.27,59
61,강원도,천내군,37978.39,60
